Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index
2002-10-31,86.896937,1001.548411,253.069203,6248.79,31.14,353.472,0.09781,-0.01729,3.5,0.2097,-0.29,0.85,99.76915000000001,81.01765699999999,94.29220600000005
2002-11-01,96.391472,1007.21119,246.37556,6321.4,29.3,361.891,0.09228,-0.05664,3.5,0.1596,-0.36,0.85,100.00572200000002,81.426533,94.35655900000005
2002-11-04,97.038166,998.114405,238.348497,6432.65,30.82,362.832,0.11054,-0.05636,3.5,0.1661,-0.36,0.85,100.01889800000001,81.978501,94.87353500000006
2002-11-05,98.000565,993.579009,236.329661,6399.64,31.23,366.201,0.10998,-0.05608,3.5,0.1661,-0.36,0.85,100.14730700000003,82.21035399999998,95.01073000000008
2002-11-06,89.366061,994.22498,232.232518,6437.91,30.73,383.198,0.10943,-0.0558,3.5,0.1661,-0.36,0.85,100.15954100000002,82.21260299999997,95.26746400000007
2002-11-07,81.672569,997.955628,232.005865,6384.42,31.42,367.137,0.13218,-0.02248,3.5,0.1863,-0.36,0.85,100.18857100000002,82.07682799999998,95.28750900000009
2002-11-08,87.993516,1000.515376,232.402626,6390.01,29.41,357.648,0.13152,-0.02237,3.5,0.1863,-0.32,0.85,100.26358800000001,81.95070999999999,95.24064100000008
2002-11-11,87.993516,1000.515376,232.402626,6293.86,31.3,357.648,0.13086,-0.02226,3.5,0.1863,-0.32,0.85,100.26358800000001,81.95070999999999,95.24064100000008
2002-11-12,87.299892,998.513296,235.378402,6329.72,30.58,358.848,0.13021,-0.02214,3.5,0.1863,-0.32,0.85,100.31844200000002,82.20167699999999,95.05907000000008
2002-11-13,88.671924,1000.538318,236.0894,6301.78,31.24,357.765,0.12956,-0.02203,3.5,0.1863,-0.32,0.85,100.33181300000003,82.13466399999999,95.02063100000008
2002-11-14,96.286476,966.345388,225.686869,6370.91,28.67,374.147,0.13965,-0.02788,3.5,0.2404,-0.32,0.85,100.48757300000003,83.40355199999998,95.61386300000008
2002-11-15,82.369016,945.8584,215.088908,6457.42,26.65,369.1,0.16385,-0.02774,3.5,0.1597,-0.25,0.85,100.40472000000003,84.092147,96.19576600000008
2002-11-18,76.369884,941.069392,212.4399,6484.98,27.66,365.055,0.16303,-0.0276,3.5,0.1597,-0.25,0.85,100.52452400000003,84.33844699999999,96.35920100000006
2002-11-19,77.030159,941.571405,212.766577,6423.65,27.41,364.685,0.15954,-0.02746,3.5,0.1597,-0.25,0.85,100.57088100000003,84.33713499999999,96.34114600000007
2002-11-20,81.092708,920.971748,211.203732,6493.14,25.32,373.282,0.16396,-0.02732,3.5,0.0291,-0.25,0.85,100.69364200000001,84.91232499999998,96.45343500000007
2002-11-21,84.21191,904.286712,206.285945,6567.83,23.81,381.045,0.18176,-0.02719,3.5,0.0395,-0.25,0.85,100.74347100000003,85.71254499999998,96.78978500000007
2002-11-22,75.192704,900.047745,206.005752,6553.89,23.16,380.373,0.18085,-0.02705,3.5,0.0395,-0.24,0.85,101.02165200000002,85.94780799999997,96.81737600000007
2002-11-25,74.135251,901.518277,205.444218,6578.16,24.07,379.925,0.17994,-0.02691,3.5,0.0395,-0.24,0.85,100.65318300000001,86.04090999999997,96.84262900000007
